1,1,235036
2,2,175772
3,3,336453
4,4,121197
5,5,108960
6,6,431399
7,7,185486
8,8,138740
9,9,134124
10,10,200573
11,11,289739
12,12,64163
13,13,308145
14,14,465612
15,15,197399
16,16,466912
17,17,128180
18,18,258020
19,19,65857
20,20,409007
21,21,342567
22,22,299189
23,23,233453
24,24,236487
25,25,428477
26,26,68498
27,27,142534
28,28,158610
29,29,424808
30,30,411568
31,31,496933
32,32,346418
33,33,166904
34,34,456730
35,35,49329
36,36,437474
37,37,181797
38,38,324413
39,39,249452
40,40,78076
41,41,102035
42,42,386291
43,43,83515
44,44,152392
45,45,62813
46,46,226942
47,47,180530
48,48,307236
49,49,86962
50,50,186794
51,51,357649
52,52,453580
53,53,252242
54,54,174791
55,55,159886
56,56,413834
57,57,355139
58,58,346184
59,59,78793
60,60,462498
61,61,480321
62,62,99715
63,63,217261
64,64,230657
65,65,215432
66,66,201107
67,67,487176
68,68,360952
69,69,178874
70,70,261521
71,71,392757
72,72,252770
73,73,462167
74,74,155077
75,75,71906
76,76,417921
77,77,434480
78,78,94495
79,79,165707
80,80,54485
81,81,110561
82,82,150660
83,83,257319
84,84,240507
85,85,148879
86,86,62608
87,87,476240
88,88,495333
89,89,181181
90,90,113007
91,91,153492
92,92,96732
93,93,464230
94,94,46123
95,95,402753
96,96,485108
97,97,374413
98,98,244786
99,99,426775
100,100,471369
