1,1,442869,0
2,2,361509,1
3,3,362555,1
4,4,437196,1
5,5,305149,1
6,6,137317,1
7,7,206492,1
8,8,80882,1
9,9,138249,1
10,10,333295,1
11,11,143063,1
12,12,354929,0
13,13,150225,1
14,14,278963,1
15,15,119603,1
16,16,174504,1
17,17,300574,0
18,18,426361,1
19,19,50522,1
20,20,347465,0
21,21,470144,0
22,22,404680,1
23,23,257417,1
24,24,310650,1
25,25,467047,0
26,26,466785,0
27,27,272780,1
28,28,152058,0
29,29,171011,0
30,30,282294,0
31,31,355076,0
32,32,281844,1
33,33,377152,1
34,34,326271,1
35,35,368771,1
36,36,249458,0
37,37,61944,1
38,38,452167,0
39,39,264287,0
40,40,326771,0
41,41,263453,0
42,42,118281,0
43,43,92576,1
44,44,200471,1
45,45,144713,0
46,46,219501,0
47,47,303359,1
48,48,250632,1
49,49,478586,0
50,50,406200,0
51,51,143318,0
52,52,45081,1
53,53,35582,1
54,54,442539,1
55,55,198351,1
56,56,497843,0
57,57,256297,0
58,58,66987,0
59,59,437683,1
60,60,77256,0
61,61,446505,1
62,62,224966,1
63,63,40233,1
64,64,184114,1
65,65,35984,0
66,66,168761,1
67,67,311371,0
68,68,336743,0
69,69,308626,1
70,70,173710,1
71,71,470931,1
72,72,243009,1
73,73,268833,0
74,74,243601,1
75,75,309504,1
76,76,230596,0
77,77,369580,0
78,78,475077,1
79,79,81171,0
80,80,212060,0
81,81,251777,0
82,82,425668,1
83,83,474895,1
84,84,279812,1
85,85,36938,1
86,86,228796,0
87,87,194987,0
88,88,85347,1
89,89,376873,1
90,90,459765,0
91,91,495971,0
92,92,85255,1
93,93,327479,1
94,94,276078,0
95,95,269691,0
96,96,44026,1
97,97,292960,1
98,98,105869,1
99,99,498127,1
100,100,424774,1
